state,vote,name,party,Bill
OR,1,earl blumenauer,D,Paycheck Fairness Act
TX,0,kevin brady,R,Paycheck Fairness Act
MD,1,elijah cummings,D,Paycheck Fairness Act
CO,1,diana degette,D,Paycheck Fairness Act
FL,1,mario diaz-balart,R,Paycheck Fairness Act
TX,-1,kay granger,R,Paycheck Fairness Act
MD,1,steny hoyer,D,Paycheck Fairness Act
OH,1,marcy kaptur,D,Paycheck Fairness Act
IA,0,steve king,R,Paycheck Fairness Act
GA,1,john lewis,D,Paycheck Fairness Act
MA,1,richard neal,D,Paycheck Fairness Act
CA,0,devin nunes,R,Paycheck Fairness Act
CA,1,nancy pelosi,D,Paycheck Fairness Act
CA,1,lucille roybal-allard,D,Paycheck Fairness Act
OH,1,tim ryan,D,Paycheck Fairness Act
CA,1,adam schiff,D,Paycheck Fairness Act
IL,0,john shimkus,R,Paycheck Fairness Act
CA,1,maxine waters,D,Paycheck Fairness Act
FL,1,debbie wasserman schultz,D,Paycheck Fairness Act
TX,0,michael mccaul,R,Paycheck Fairness Act
CA,0,kevin mccarthy,R,Paycheck Fairness Act
FL,1,kathy castor,D,Paycheck Fairness Act
KY,1,john yarmuth,D,Paycheck Fairness Act
NE,0,adrian smith,R,Paycheck Fairness Act
OH,0,jim jordan,R,Paycheck Fairness Act
VT,1,peter welch,D,Paycheck Fairness Act
IL,1,bill foster,D,Paycheck Fairness Act
CA,1,jackie speier,D,Paycheck Fairness Act
LA,0,steve scalise,R,Paycheck Fairness Act
TX,0,pete olson,R,Paycheck Fairness Act
GA,0,tom graves,R,Paycheck Fairness Act
AL,0,mo brooks,R,Paycheck Fairness Act
AL,1,terri sewell,D,Paycheck Fairness Act
AZ,0,paul gosar,R,Paycheck Fairness Act
CA,1,karen bass,D,Paycheck Fairness Act
CO,0,scott tipton,R,Paycheck Fairness Act
FL,0,daniel webster,R,Paycheck Fairness Act
GA,0,austin scott,R,Paycheck Fairness Act
IL,0,adam kinzinger,R,Paycheck Fairness Act
MI,0,bill huizenga,R,Paycheck Fairness Act
OH,0,bill johnson,R,Paycheck Fairness Act
OH,0,steve stivers,R,Paycheck Fairness Act
OH,0,bob gibbs,R,Paycheck Fairness Act
SC,0,jeff duncan,R,Paycheck Fairness Act
WI,0,sean duffy,R,Paycheck Fairness Act
OR,1,suzanne bonamici,D,Paycheck Fairness Act
KY,0,thomas massie,R,Paycheck Fairness Act
CA,1,jared huffman,D,Paycheck Fairness Act
CA,1,eric swalwell,D,Paycheck Fairness Act
CA,1,mark takano,D,Paycheck Fairness Act
CA,1,alan lowenthal,D,Paycheck Fairness Act
CA,1,juan vargas,D,Paycheck Fairness Act
CA,1,scott peters,D,Paycheck Fairness Act
FL,0,ted yoho,R,Paycheck Fairness Act
GA,0,doug collins,R,Paycheck Fairness Act
HI,1,tulsi gabbard,D,Paycheck Fairness Act
IL,1,cheri bustos,D,Paycheck Fairness Act
NC,0,mark meadows,R,Paycheck Fairness Act
NY,1,grace meng,D,Paycheck Fairness Act
NY,1,hakeem jeffries,D,Paycheck Fairness Act
NY,1,sean maloney,D,Paycheck Fairness Act
TX,1,joaquin castro,D,Paycheck Fairness Act
TX,1,marc veasey,D,Paycheck Fairness Act
WA,1,derek kilmer,D,Paycheck Fairness Act
WI,1,mark pocan,D,Paycheck Fairness Act
IL,1,robin kelly,D,Paycheck Fairness Act
MO,0,jason smith,R,Paycheck Fairness Act
MA,1,katherine clark,D,Paycheck Fairness Act
AZ,1,ruben gallego,D,Paycheck Fairness Act
