Name,Twitter_Handle
Alexandria Ocasio-Cortez,@AOC
Ilhan Omar,@IlhanMN
Maxine Waters,@RepMaxineWaters
Lucy McBath,@lucymcbath
Pramila Jayapal,@RepJayapal
Hakeem Jeffries,@RepJeffries
Rashida Tlaib,@RashidaTlaib
Val Demings,@RepValDemings
Ted Lieu,@RepTedLieu
Deb Dingell,@RepDebDingell
Don Beyer,@RepDonBeyer
Stacey Plaskett,@StaceyPlaskett
Katherine Clark,@RepKClark
Nanette Barragan,@RepBarragan
Ro Khanna,@RepRoKhanna
Stephanie Murphy,@RepStephMurphy
Ruben Gallego,@RepRubenGallego
Brenda Lawrence,@RepLawrence
Kathy Castor,@USRepKCastor
Peter Welch,@PeterWelch
Robin Kelly,@RepRobinKelly
Juan Vargas,@RepJuanVargas
Diana DeGette,@RepDianaDeGette
Mark Pocan,@repmarkpocan
Scott Peters,@RepScottPeters
Cheri Bustos,@RepCheri
Bill Foster,@RepBillFoster
Marc Veasey,@RepVeasey
Sean Maloney,@RepSeanMaloney
Jared Huffman,@RepHuffman
Tulsi Gabbard,@TulsiPress
Derek Kilmer,@RepDerekKilmer
Annie Kuster,@RepAnnieKuster
Joe Kennedy,@RepJoeKennedy
Alan Lowenthal,@RepLowenthal
Grace Meng,@RepGraceMeng
Dan Kildee,@RepDanKildee
Mark Takano,@RepMarkTakano
Jackie Speier,@RepSpeier
Eric Swalwell,@RepSwalwell
Elijah Cummings,@RepCummings
Marcy Kaptur,@RepMarcyKaptur
Suzanne Bonamici,@RepBonamici
Lucille Roybal-Allard,@RepRoybalAllard
Steny Hoyer,@LeaderHoyer
Richard Neal,@RepRichardNeal
John Yarmuth,@RepJohnYarmuth
Terri Sewell,@RepTerriSewell
Tim Ryan,@RepTimRyan
Nancy Pelosi,@SpeakerPelosi
Earl Blumenauer,@repblumenauer
John Lewis,@repjohnlewis
Adam Schiff,@RepAdamSchiff
Jerry Nadler,@RepJerryNadler
Debbie Wasserman Schultz,@DWStweets
Joaquin Castro,@JoaquinCastrotx
Karen Bass,@RepKarenBass
Seth Moulton,@sethmoulton
Barbra Lee,@RepBarbaraLee
