Name,Twitter_Handle
Brian Babin,@RepBrianBabin
Scott Tipton,@RepTipton
Bill Johnson,@RepBillJohnson
Barry Loudermilk,@RepLoudermilk
Steve King,@SteveKingIA
Jason Smith,@RepJasonSmith
Adrian Smith,@RepAdrianSmith
Kevin McCarthy,@GOPLeader
John Curtis,@RepJohnCurtis
Kay Granger,@RepKayGranger
Elise Stefanik,@RepStefanik
Austin Scott,@AustinScottGA08
John Ratcliffe,@RepRatcliffe
Pete Olson,@RepPeteOlson
Bill Huizenga,@RepHuizenga
Dan Newhouse,@RepNewhouse
Doug Collins,@RepDougCollins
John Barrasso,@SenJohnBarrasso
John Thune,@SenJohnThune
Mike Enzi,@SenatorEnzi
Mitch McConnell,@senatemajldr
Chuck Grassley,@ChuckGrassley
Tom Graves,@RepTomGraves
Matt Gaetz,@RepMattGaetz
Marco Rubio,@marcorubio
Joni Ernst,@SenJoniErnst
Mitt Romney,@SenatorRomney
Rob Porman,@senrobportman
John Cornyn,@JohnCornyn
Chip Roy ,@RepChipRoy
Mark Green,@RepMarkGreen
Clay Higgins,@RepClayHiggins
Don Bacon,@RepDonBacon
will hurd ,@HurdOnTheHill
lee zeldin ,@RepLeeZeldin
Steve Scalise ,@SteveScalise 
Ted Yoho,@RepTedYoho
Thomas Massie ,@RepThomasMassie 
Mark Meadows,@RepMarkMeadows
Devin Nunes,@RepDevinNunes
Paul Gosar ,@RepGosar 
Jeff Duncan,@RepJeffDuncan 
Mo Brooks,@RepMoBrooks
Bob Gibbs,@RepBobGibbs 
Sean Duffy,@RepSeanDuffy 
Adam Kinzinger,@RepKinzinger 
Mario Diaz-Balart,@MarioDB
Louie Gohmert ,@RepLouieGohmert 
Kevin Brady,@RepKevinBrady 
Jim Jordan,@Jim_Jordan
Cathy Rodgers ,@cathymcmorris 
Bob Latta,@boblatta
Rob Wittman ,@RobbWittman 
Pete King ,@RepPeteKing
Michael McCaul ,@RepMcCaul 
Steve Stivers ,@RepSteveStivers 
David B McKinley,@RepMcKinley 
Daniel Webster ,@RepWebster
John Shimkus ,@RepShimkus 
