Name,Background Check for Firearms,For the People Act 2019,Health Care,Paycheck Fairness Act,Remove Troops from Yemen,Save the Internet,Trump's National Emergency,Violence against Women Reauthorization Act
Adam Kinzinger,10.0,37.0,39.0,74.0,59.0,2.0,57.0,51.0
Adam Schiff,74.0,111.0,49.0,77.0,70.0,9.0,107.0,31.0
Adrian Smith,26.0,52.0,159.0,29.0,13.0,1.0,34.0,12.0
Alan Lowenthal,76.0,150.0,108.0,138.0,25.0,17.0,85.0,32.0
Alexandria Ocasio-Cortez,19.0,108.0,73.0,134.0,19.0,2.0,41.0,61.0
Annie Kuster,27.0,102.0,128.0,210.0,19.0,25.0,46.0,144.0
Austin Scott,42.0,80.0,86.0,64.0,39.0,3.0,43.0,45.0
Barbra Lee,97.0,143.0,166.0,284.0,142.0,20.0,60.0,163.0
Barry Loudermilk,20.0,54.0,21.0,39.0,16.0,5.0,71.0,20.0
Bill Foster,101.0,140.0,111.0,149.0,23.0,13.0,98.0,79.0
Bill Huizenga,55.0,84.0,67.0,53.0,21.0,1.0,49.0,27.0
Bill Johnson,17.0,68.0,64.0,39.0,24.0,12.0,30.0,23.0
Bob Gibbs,42.0,119.0,51.0,53.0,13.0,2.0,50.0,20.0
Bob Latta,20.0,48.0,62.0,52.0,13.0,42.0,52.0,25.0
Brenda Lawrence,115.0,146.0,140.0,278.0,25.0,7.0,68.0,179.0
Brian Babin,32.0,71.0,40.0,41.0,28.0,1.0,126.0,16.0
Cathy Rodgers,14.0,38.0,56.0,165.0,24.0,25.0,39.0,101.0
Cheri Bustos,33.0,106.0,169.0,153.0,29.0,13.0,38.0,102.0
Chip Roy,5.0,22.0,22.0,30.0,7.0,,47.0,21.0
Chuck Grassley,23.0,65.0,121.0,43.0,11.0,5.0,140.0,20.0
Clay Higgens,7.0,17.0,15.0,30.0,5.0,,76.0,22.0
Dan Kildee,43.0,133.0,190.0,120.0,22.0,18.0,75.0,38.0
Dan Newhouse,11.0,38.0,30.0,22.0,7.0,1.0,21.0,12.0
Daniel Webster,27.0,72.0,128.0,68.0,21.0,2.0,46.0,27.0
David B McKinley,28.0,64.0,116.0,72.0,29.0,6.0,63.0,29.0
Deb Dingell,38.0,82.0,184.0,244.0,27.0,25.0,79.0,179.0
Debbie Wasserman Schultz,84.0,131.0,149.0,170.0,14.0,4.0,68.0,90.0
Derek Kilmer,16.0,92.0,72.0,106.0,32.0,8.0,34.0,32.0
Devin Nunes,,,,2.0,2.0,,6.0,2.0
Diana DeGette,51.0,114.0,193.0,175.0,18.0,29.0,47.0,104.0
Don Bacon,44.0,71.0,40.0,67.0,29.0,6.0,91.0,33.0
Don Beyer,76.0,110.0,120.0,163.0,39.0,8.0,140.0,49.0
Doug Collins,40.0,97.0,94.0,60.0,18.0,14.0,70.0,23.0
Earl Blumenauer,73.0,118.0,140.0,104.0,30.0,23.0,71.0,43.0
Elijah Cummings,29.0,106.0,108.0,90.0,9.0,5.0,95.0,33.0
Elise Stefanik,28.0,88.0,105.0,76.0,16.0,18.0,57.0,55.0
Eric Swalwell,97.0,62.0,82.0,54.0,39.0,7.0,66.0,12.0
Grace Meng,49.0,86.0,60.0,120.0,16.0,4.0,56.0,78.0
Hakeem Jeffries,73.0,142.0,93.0,99.0,57.0,9.0,99.0,26.0
Ilhan Omar,28.0,138.0,44.0,171.0,43.0,4.0,68.0,104.0
Jackie Speier,101.0,100.0,84.0,266.0,45.0,10.0,52.0,165.0
Jared Huffman,78.0,139.0,113.0,65.0,22.0,15.0,32.0,28.0
Jason Smith,45.0,75.0,62.0,74.0,35.0,2.0,61.0,23.0
Jeff Duncan,41.0,94.0,29.0,32.0,9.0,6.0,102.0,10.0
Jerry Nadler,76.0,106.0,84.0,105.0,17.0,17.0,93.0,39.0
Jim Jordan,42.0,89.0,58.0,30.0,8.0,2.0,101.0,9.0
Joaquin Castro,36.0,126.0,39.0,69.0,34.0,2.0,212.0,20.0
Joe Kennedy,55.0,133.0,307.0,185.0,83.0,7.0,55.0,64.0
John Barrasso,25.0,99.0,218.0,80.0,26.0,1.0,60.0,25.0
John Cornyn,30.0,140.0,30.0,57.0,23.0,,151.0,19.0
John Curtis,17.0,16.0,14.0,36.0,13.0,12.0,23.0,18.0
John Lewis,56.0,182.0,56.0,120.0,49.0,8.0,37.0,25.0
John Ratcliffe,39.0,67.0,28.0,46.0,12.0,4.0,73.0,26.0
John Shimkus,16.0,81.0,64.0,41.0,25.0,18.0,39.0,14.0
John Thune,18.0,35.0,88.0,34.0,22.0,13.0,57.0,25.0
John Yarmuth,99.0,139.0,245.0,111.0,17.0,10.0,72.0,43.0
Joni Ernst,14.0,35.0,91.0,74.0,18.0,2.0,39.0,52.0
Juan Vargas,49.0,93.0,74.0,152.0,22.0,7.0,100.0,68.0
Karen Bass,45.0,150.0,156.0,189.0,43.0,3.0,74.0,118.0
Katherine Clark,150.0,183.0,199.0,257.0,15.0,24.0,60.0,153.0
Kathy Castor,41.0,120.0,280.0,110.0,22.0,49.0,78.0,57.0
Kay Granger,17.0,52.0,55.0,74.0,16.0,,43.0,59.0
Kevin Brady,20.0,82.0,161.0,67.0,23.0,9.0,67.0,18.0
Kevin McCarthy,20.0,173.0,122.0,81.0,23.0,16.0,99.0,37.0
Louie Gohmert,32.0,71.0,63.0,39.0,23.0,5.0,157.0,26.0
Lucille Roybal-Allard,46.0,107.0,184.0,135.0,9.0,4.0,149.0,74.0
Lucy McBath,80.0,56.0,19.0,80.0,5.0,2.0,8.0,62.0
Marc Veasey,43.0,231.0,111.0,198.0,27.0,11.0,87.0,89.0
Marco Rubio,13.0,119.0,9.0,35.0,44.0,5.0,107.0,8.0
Marcy Kaptur,27.0,88.0,174.0,102.0,16.0,21.0,119.0,57.0
Mario Diaz-Balart,14.0,56.0,24.0,52.0,20.0,4.0,55.0,17.0
Mark Green,9.0,22.0,26.0,11.0,,3.0,34.0,1.0
Mark Meadows,20.0,30.0,25.0,20.0,4.0,,54.0,11.0
Mark Pocan,64.0,138.0,145.0,133.0,71.0,39.0,90.0,51.0
Mark Takano,73.0,129.0,194.0,166.0,26.0,23.0,100.0,50.0
Matt Gaetz,40.0,43.0,27.0,37.0,11.0,3.0,97.0,16.0
Maxine Waters,20.0,76.0,49.0,101.0,15.0,6.0,59.0,53.0
Michael McCaul,15.0,36.0,20.0,42.0,36.0,8.0,279.0,30.0
Mike Enzi,17.0,58.0,133.0,52.0,14.0,4.0,53.0,15.0
Mitch McConnell,22.0,167.0,106.0,70.0,18.0,7.0,86.0,28.0
Mitt Romney,6.0,6.0,14.0,5.0,8.0,,26.0,3.0
Mo Brooks,25.0,76.0,26.0,36.0,13.0,1.0,161.0,19.0
Nancy Pelosi,43.0,159.0,203.0,177.0,24.0,42.0,84.0,92.0
Nanette Barragan,45.0,102.0,152.0,150.0,19.0,7.0,124.0,90.0
Paul Gosar,37.0,81.0,45.0,53.0,24.0,3.0,168.0,25.0
Pete King,20.0,50.0,48.0,29.0,33.0,1.0,167.0,21.0
Pete Olson,32.0,60.0,48.0,63.0,23.0,2.0,56.0,26.0
Peter Welch,25.0,71.0,87.0,49.0,25.0,41.0,29.0,20.0
Pramila Jayapal,40.0,107.0,361.0,191.0,50.0,8.0,115.0,108.0
Rashida Tlaib,22.0,106.0,57.0,162.0,35.0,2.0,41.0,109.0
Richard Neal,16.0,19.0,75.0,31.0,7.0,7.0,29.0,13.0
Ro Khanna,95.0,140.0,144.0,162.0,267.0,50.0,83.0,42.0
Rob Porman,45.0,35.0,33.0,61.0,11.0,8.0,102.0,46.0
Robin Kelly,292.0,120.0,178.0,148.0,19.0,2.0,52.0,91.0
Ruben Gallego,83.0,135.0,102.0,107.0,61.0,4.0,125.0,35.0
Scott Peters,59.0,80.0,178.0,136.0,53.0,5.0,95.0,59.0
Scott Tipton,17.0,150.0,70.0,101.0,23.0,6.0,39.0,28.0
Sean Duffy,34.0,43.0,29.0,51.0,17.0,2.0,49.0,18.0
Sean Maloney,37.0,114.0,104.0,188.0,53.0,68.0,66.0,74.0
Seth Moulton,69.0,109.0,105.0,101.0,87.0,12.0,102.0,39.0
Stacey Plaskett,30.0,76.0,22.0,87.0,,3.0,33.0,50.0
Steny Hoyer,44.0,160.0,131.0,130.0,31.0,1.0,78.0,53.0
Stephanie Murphy,81.0,60.0,75.0,81.0,7.0,3.0,58.0,40.0
Steve King,41.0,92.0,73.0,33.0,21.0,2.0,170.0,13.0
Steve Scalise,53.0,136.0,87.0,70.0,24.0,6.0,89.0,26.0
Steve Stivers,33.0,139.0,102.0,62.0,15.0,2.0,33.0,32.0
Suzanne Bonamici,113.0,97.0,198.0,209.0,28.0,23.0,53.0,121.0
Ted Lieu,54.0,96.0,105.0,110.0,66.0,11.0,106.0,57.0
Ted Yoho,18.0,38.0,25.0,26.0,9.0,3.0,46.0,22.0
Terri Sewell,54.0,450.0,134.0,356.0,89.0,8.0,43.0,121.0
Thomas Massie,118.0,141.0,32.0,36.0,65.0,13.0,46.0,2.0
Tim Ryan,46.0,78.0,119.0,108.0,23.0,27.0,75.0,49.0
Tom Graves,36.0,96.0,55.0,56.0,24.0,8.0,84.0,27.0
Tulsi Gabbard,37.0,126.0,87.0,95.0,117.0,56.0,112.0,43.0
Val Demings,105.0,116.0,96.0,148.0,23.0,17.0,87.0,69.0
lee zeldin,26.0,54.0,35.0,43.0,16.0,2.0,52.0,25.0
will hurd,13.0,37.0,42.0,68.0,27.0,11.0,131.0,59.0
